FID1 IID1 FID2 IID2 HetHet IBS0 KINSHIP
0 4278183 0 4696258 0.077 0.0048 0.2511
0 4290518 0 4547729 0.052 0.0094 0.1241
0 2695089 0 4123848 0.046 0.0147 0.0595
0 1449379 0 1060198 0.047 0.0132 0.0732
0 3636080 0 4098196 0.065 1e-04 0.2451
0 5579989 0 1246353 0.046 0.014 0.0645
0 2960813 0 2747003 0.044 0.0149 0.0501
0 2689345 0 5802737 0.082 0.0051 0.2658
0 4109163 0 5704680 0.054 0.0087 0.1362
0 1512157 0 4346626 0.068 0 0.252
0 1063676 0 4119389 0.04 0.0136 0.0457
0 4956766 0 4541782 0.051 0.0051 0.2339
0 5119681 0 4621126 0.044 0.0148 0.0533
0 2191036 0 2467186 0.046 0.0138 0.0673
0 1225544 0 1559474 0.045 0.0145 0.057
0 4692973 0 1409416 0.046 0.0142 0.0655
0 2060709 0 4681896 0.045 0.0148 0.0565
0 2522136 0 2880531 0.046 0.014 0.0647
0 3791590 0 3211546 0.048 0.0128 0.0814
0 5512884 0 4996742 0.045 0.015 0.0506
0 4679363 0 3999282 0.051 0.0106 0.1094
0 4426775 0 5185477 0.052 0.0096 0.1223
0 3548225 0 1180943 0.075 0.0047 0.2466
0 1191667 0 4577803 0.045 0.0153 0.0517
0 1838612 0 2633161 0.055 0.0081 0.1418
0 3329108 0 3935964 0.045 0.0152 0.0512
0 4927389 0 1822618 0.083 0.0038 0.2792
0 5969480 0 3878124 0.046 0.0155 0.0514
0 5230286 0 1654050 0.044 0.0153 0.0461
0 5682500 0 5519421 0.033 0.0107 0.0587
0 4921849 0 3560233 0.047 0.0143 0.0685
0 3425557 0 4670095 0.048 0.0138 0.0753
0 1723640 0 5306132 0.078 0.0041 0.2616
0 4713887 0 2978120 0.073 0.0052 0.232
0 5325861 0 5538115 0.046 0.0148 0.0587
0 5769967 0 3083922 0.076 0.0039 0.2583
0 2347016 0 2752955 0.074 0.0051 0.2375
0 3532777 0 2358017 0.046 0.0141 0.0596
0 2180613 0 2888142 0.046 0.0148 0.0625
0 3157960 0 4812165 0.046 0.0134 0.0711
0 1365601 0 3830834 0.055 0.0079 0.1451
0 1198944 0 4602877 0.046 0.0136 0.0701
0 4702567 0 3220724 0.082 0.0038 0.2778
0 3188814 0 5264491 0.044 0.0154 0.0482
0 5705395 0 2686140 0.054 0.0088 0.1336
0 3505787 0 1294391 0.045 0.0145 0.0566
0 5521126 0 4194963 0.046 0.0133 0.0703
0 3326279 0 4168431 0.044 0.0149 0.0535
0 5681337 0 1658334 0.067 1e-04 0.2498
0 3058279 0 1574599 0.056 0.008 0.1464
0 2089708 0 3781649 0.053 0.0093 0.1296
0 2214607 0 2207960 0.05 0.0123 0.0905
0 3858236 0 3034131 0.046 0.0145 0.0599
